id,id2,-,-,-,-,name,-,description,price,price2,-,-,-,option groups,-,-,-,-,photo,-,-,-,category,-
1,1,,,,,Lunch combo superclub,,"Een combi van onze favorieten: Een dubbele boterham met boeren-scharrelkip, bacon, tomaat, rucola en Anne&Max clubsaus. Plus huisgemaakte ijsthee",11,11,0,0,0,"673678432-3,673678432-2",0,0,"delivery,takeaway",1,,,,9,Lunch combo,
2,2,,,,,Lunch combo yacht,,"Een combinatie van onze favorieten: Een dubbele boterham met warmgerookte zalm, roomkaas, rucola, ingemaakte paprika en groene pesto. Plus huisgemaakte ijsthee",11,11,0,0,0,"673678432-3,673678432-2",0,0,"delivery,takeaway",1,,,,9,Lunch combo,
3,3,,,,,Lunch combo Italian,,"Vegetarisch. Een combinatie van onze favorieten: Dubbele boterham met groene pesto, romige burrataspread, tomaat, parmezaan, rucola, en tapenade. Plus huisgemaakte ijsthee",10,10,0,0,0,"673678432-3,673678432-2",0,0,"delivery,takeaway",1,,,,9,Lunch combo,
4,4,,,,,Lunch combo de kas,,"Vegan. Een combinatie van onze favorieten: Dubbele boterham met gerookte tofu, ingemaakte seizoensgroenten, geroosterde courgette, rucola, paprikaspread en vegan mayonaise. Plus huisgemaakte ijsthee",10,10,0,0,0,"673678432-3,673678432-2",0,0,"delivery,takeaway",1,,,,9,Lunch combo,
5,5,,,,,De Anne&Max ontbijtbox,,"Box met een ontbijtsandwich met kaas en tomaat, kwark met fruit&granen, twee bio croissants met gezouten boter, fruitcompôte en een energieshake. Vegan mogelijk",33,33,0,0,0,"673678442-2,673678442-4",0,0,"delivery,takeaway",1,fe6feaf54f9efa34c6ac5d81ec2765f8.webp,,,9,Boxen,
6,6,,,,,De Anne&Max lunchbox,,"Box met sandwiches, muffins, frisse salades en huisgemaakte citroen&munt ijsthee. Vanaf 2 personen. Vegetarisch of vegan mogelijk",33,33,0,0,0,"673678452-2,673678452-4",0,0,"delivery,takeaway",1,24b621250218ef42fbe557419c4ecc65.webp,,,9,Boxen,
7,7,,,,,High tea box,,"Box met sandwiches, scones met clotted cream en lemoncurd, verschillende zoetigheden en ijsthee. Vegetarisch of vegan mogelijk",46,46,0,0,0,"673678462-2,673678462-4",0,0,"delivery,takeaway",1,1f72f3e28a3c04e867fabd9ed6b38aef.webp,,,9,Boxen,
8,8,,,,,Croissant,,Met roomboter of fruitcompôte,4,4,0,0,0,"673678472-2,673678472-3,673678472-4",0,0,"delivery,takeaway",1,ea38e8a4e0c956c7ef69775acc580ea4.webp,,,9,Ontbijt en brunch,
9,9,,,,,Fruit en granen,,"Kwark, zomerfruit, Anne&Max granola, fruitcompôte en munt",9.75,9.75,0,0,0,673678482-3,0,0,"delivery,takeaway",1,f24f1465e2673567c20aeabead346b29.webp,,,9,Ontbijt en brunch,
10,10,,,,,Acai bowl,,"Acai en blauwe bes smoothiebowl, Anne&Max granola, zomerfruit en gepofte quinoa",11,11,0,0,0,673678482-3,0,0,"delivery,takeaway",1,16985179e42ce6fe9408ad7ef6f0888d.webp,,,9,Ontbijt en brunch,
11,11,,,,,Droomcroissant,,"Croissant, roerei met bacon, warmgekookte zalm of naturel en spinazie",10.5,10.5,0,0,0,"673678492-2,673678492-3,673678492-4",0,0,"delivery,takeaway",1,eb7dc2b93a29c0905a7ae797e81a71ce.webp,,,9,Ontbijt en brunch,
12,12,,,,,Pistache croissant,,Croissant met pistachecrème en pistachenootjes,4.5,4.5,0,0,0,"673678502-3,673678502-4",0,0,"delivery,takeaway",1,84ba0819075752211e0bc489ec533f43.webp,,,9,Ontbijt en brunch,
13,13,,,,,Amandel-citroen croissant,,Croissant met topping van lemoncurd en amandelschaafsel,4,4,0,0,0,"673678502-3,673678502-4",0,0,"delivery,takeaway",1,a716a595fa00f6fe17fb33aed2b5449d.webp,,,9,Ontbijt en brunch,
14,14,,,,,De kas,,"Gerookte tofu, ingemaakte seizoensgroenten, geroosterde courgette, rucola, paprikaspread en vegan mayonaise",13.75,13.75,0,0,0,"673678512-2,673678512-3,673678512-4",0,0,"delivery,takeaway",1,cffb5794b4f87d1cb7d7dc3f85457a76.webp,,,9,Lunch,
15,15,,,,,Super club,,"Gerookte kip, bacon, tomaat, rucola en Anne&Max clubsaus",14.75,14.75,0,0,0,"673678512-2,673678512-3,673678512-4",0,0,"delivery,takeaway",1,6bce823160933abf9594b5e57fd753c7.webp,,,9,Lunch,
16,16,,,,,Yacht club,,"Warmgerookte zalm, roomkaas, rucola, wortelsalade en pesto",14.75,14.75,0,0,0,"673678512-2,673678512-3,673678512-4",0,0,"delivery,takeaway",1,5ed4fa3158be8c1b21ce79ecef119627.webp,,,9,Lunch,
17,17,,,,,Italian club,,"Pesto, burrataspread, tomaat, parmezaan, rucola en tapenade",14.25,14.25,0,0,0,"673678512-2,673678512-3,673678512-4",0,0,"delivery,takeaway",1,1b33a50ecd2f6e81cc3c00b1e70243d7.webp,,,9,Lunch,
18,18,,,,,Focaccia kip piri piri,,"Pulled chicken, geroosterde paprikaspread, ingemaakte seizoensgroenten en rucola",13.5,13.5,0,0,0,"673678522-2,673678522-3,673678522-4",0,0,"delivery,takeaway",1,1ccfd6cefb578b64b1758fb14e12b3c4.webp,,,9,Lunch,
19,19,,,,,Focaccia maximiliano,,"Gesmolten mozzarella, tomaat, pesto, rucola en pittenmix",11.75,11.75,0,0,0,"673678532-2,673678532-3,673678532-4",0,0,"delivery,takeaway",1,dd1427d083b2be1c3315de94c66e6616.webp,,,9,Lunch,
20,20,,,,,Focaccia dubbelkaas tosti,,Tosti van focaccia met oude en jong belegen kaas met ketchup,10.5,10.5,0,0,0,"673678542-2,673678542-3,673678542-5",0,0,"delivery,takeaway",1,1d49d7d9157f6482381ff8dc6afccd6e.webp,,,9,Lunch,
21,21,,,,,Burratabowl,,"Parelcouscous met romesco, burrataspread, pesto, tomaat, geroosterde courgette, babyspinazie, citroendressing en focacciatoast",13.75,13.75,0,0,0,"673678552-3,673678552-5",0,0,"delivery,takeaway",1,9ef0538296dcc1c11ce93ef5d17ced72.webp,,,9,Bowls,
22,22,,,,,Zomerbowl,,"Quinoa, gerookte kip, bacon, seizoensgroenten en caesar dressing",14,14,0,0,0,"673678552-3,673678552-5",0,0,"delivery,takeaway",1,1af59036dc408587609d15e67aa27094.webp,,,9,Bowls,
23,23,,,,,Kids bananenbrood,,Anne&Max bananenbrood met dadels en specerijen,4,4,0,0,0,"673678562-2,673678562-3",0,0,"delivery,takeaway",1,ec67228431de88dcd487ff768cf847c3.webp,,,9,Kids eten,
24,24,,,,,Kids tosti kaas,,Geserveerd met chips en ketchup,6,6,0,0,0,"673678572-2,673678572-4",0,0,"delivery,takeaway",1,ffe251a9ca2dbeb43fdf07a910b86989.webp,,,9,Kids eten,
25,25,,,,,Kids boterham,,"Met kaas, jam of pure chocoladestukjes",3,3,0,0,0,"673678582-6,673678582-2,673678582-4",0,0,"delivery,takeaway",1,,,,9,Kids eten,
26,26,,,,,Appeltaart,,Ambachtelijke appeltaart,4.75,4.75,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,60e58f819b10525463e46d8ce57e4ac0.webp,,,9,Taart en zoetigheden,
27,27,,,,,Anne&Max worteltaart,,"Mediterrane stijl met sinaasappel, amandel en crunchy granola",5,5,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,e481eb6d5df631a038dd546b82a86a84.webp,,,9,Taart en zoetigheden,
28,28,,,,,Frambozen cheesecake,,,5,5,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,a1f8a9afcc89ea11b88a3643a2584991.webp,,,9,Taart en zoetigheden,
29,29,,,,,Chocolade-karameltaart,,,5,5,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,122a19c4ae6d0200dc59d0699f10c150.webp,,,9,Taart en zoetigheden,
30,30,,,,,Citroen tartelette,,,5,5,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,dfdc768b9a56b141a223c5854e88187c.webp,,,9,Taart en zoetigheden,
31,31,,,,,Dubbel chocoladecake,,Pure chocoladecake met stukjes chocola,4,4,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,80f19676618a95daefa2cc428c81f571.webp,,,9,Taart en zoetigheden,
32,32,,,,,Citroen maanzaad cake,,Cake met maanzaad en subtiele citroensmaak,4,4,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,51861b7dfa3c3397347aec7039d2d47c.webp,,,9,Taart en zoetigheden,
33,33,,,,,Bananenbrood,,Anne&Max bananenbrood met dadels en specerijen,4,4,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,ec67228431de88dcd487ff768cf847c3.webp,,,9,Taart en zoetigheden,
34,34,,,,,Scone,,Met clotted cream en lemoncurd,4.75,4.75,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,53c83318b50bdf51e47fa0adf00901ca.webp,,,9,Taart en zoetigheden,
35,35,,,,,Roze koek,,De planeetaardige variant,3.5,3.5,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,ff7cbb077d70f64778ed93bfc14d743f.webp,,,9,Taart en zoetigheden,
36,36,,,,,Haverkoek,,,3,3,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,61629e2b0b8c77294ec94630a31832f5.webp,,,9,Taart en zoetigheden,
37,37,,,,,Muffin,,,4,4,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,d14c72493be735429afa3a04f124e83f.webp,,,9,Taart en zoetigheden,
38,38,,,,,Wortelette,,Zowel vegan als glutenvrij!,5.75,5.75,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,d51b97a1ad5fb58b9bd87944303e5595.webp,,,9,Taart en zoetigheden,
39,39,,,,,No cheesecake,,Zowel vegan als glutenvrij!,5.75,5.75,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,06948d0d70c5af6652a83f77171fdb27.webp,,,9,Taart en zoetigheden,
40,40,,,,,Cold drip,,"Rijke, zachte en zwarte ijskoffie die in 18 uur druppelsgewijs met ijskoud water wordt gezet",4,4,0,0,0,,0,0,"delivery,takeaway",1,7907ce69f5be0a6cadea9dbb01665767.webp,,,9,IJskoffies,
41,41,,,,,IJscappuccino,,IJskoude cappuccino bereid met havermelk,4,4,0,0,0,673678602-3,0,0,"delivery,takeaway",1,127c54af723c8074be37ad082a0d14f5.webp,,,9,IJskoffies,
42,42,,,,,Iced matcha latte,,"Matcha, havermelk en ijsblokjes",5.75,5.75,0,0,0,673678602-3,0,0,"delivery,takeaway",1,829b6457a380284c16e814914c5db2ad.webp,,,9,IJskoffies,
43,43,,,,,Energie,,"Mango, banaan, gember, wortel, appel en chiazaad",5.5,5.5,0,0,0,673678612-3,0,0,"delivery,takeaway",1,24d090c1d02893666ec419feaac0d8e6.webp,,,9,Sappen en shakes,
44,44,,,,,Zomergroen,,"Groene groentes, matcha, munt, banaan, dadel, appel, mango en havermelk",5.5,5.5,0,0,0,673678612-3,0,0,"delivery,takeaway",1,3bc2e37f12ffccf1f792771bce3b1e8f.webp,,,9,Sappen en shakes,
45,45,,,,,Alles-in-één,,Combi van energie én zomergroen,5.5,5.5,0,0,0,673678612-3,0,0,"delivery,takeaway",1,1596a13f918c76cb5d55a74b14a2c680.webp,,,9,Sappen en shakes,
46,46,,,,,Oppepper,,"Cold pressed juice van ananas, gember, grapefruit, peer, bieten en vitamine C",6,6,0,0,0,673678612-3,0,0,"delivery,takeaway",1,,,,9,Sappen en shakes,
47,47,,,,,Verse sinaasappelsap,,Dagelijks vers geperst,5,5,0,0,0,673678612-3,0,0,"delivery,takeaway",1,f9f22911a29f9ec50cff7b0c1d3f2075.webp,,,9,Sappen en shakes,
48,48,,,,,Kombucha,,Op basis van gefermenteerde thee met kurkuma,4.5,4.5,0,0,0,,0,0,"delivery,takeaway",1,b57fbbbee24b77bda1425894e2a4594f.webp,,,9,Frisdranken,
49,49,,,,,Cola mama,,Cola met limoen en bergamot,4.25,4.25,0,0,0,,0,0,"delivery,takeaway",1,bb91b18b693aa6f38bd2279399c2b3f8.webp,,,9,Frisdranken,
50,50,,,,,Orange mama,,Sprankelende sinas,4.25,4.25,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Frisdranken,
51,51,,,,,Schulp appelsap,,,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,c4388b1d434b2a14948b64ee8cccf190.webp,,,9,Frisdranken,
52,52,,,,,Mineraalwater plat,,,3.25,3.25,0,0,0,,0,0,"delivery,takeaway",1,0e3f686de1b316a1747efbcdfbf69c2e.webp,,,9,Frisdranken,
53,53,,,,,Mineraalwater bruisend,,,3.25,3.25,0,0,0,,0,0,"delivery,takeaway",1,0e3f686de1b316a1747efbcdfbf69c2e.webp,,,9,Frisdranken,
54,54,,,,,Zomerbubbel,,"Bruiswater met vlierbloesem, munt en aardbei",4,4,0,0,0,673678622-2,0,0,"delivery,takeaway",1,0a8e11084f9ee088b67c880ba6220e64.webp,,,9,Frisdranken,
55,55,,,,,Gember sereh,,"Bruisend met gember, sereh en citroen",4,4,0,0,0,673678622-2,0,0,"delivery,takeaway",1,06e8e1e205a97d62b3a603dbeb6cc423.webp,,,9,Frisdranken,
56,56,,,,,IJsthee citroen en munt,,Gemaakt van de Anne&Max ijsthee melange. Huisgemaakt,4,4,0,0,0,673678622-2,0,0,"delivery,takeaway",1,a3c6fc024647f92398b58d03d59b315e.webp,,,9,Frisdranken,
57,57,,,,,Groene ijsthee,,"Fris en zoet met jasmijn, framboos, moringa en munt. Huisgemaakt",4,4,0,0,0,673678622-2,0,0,"delivery,takeaway",1,be04e18a7cd97a7e6f67c06b9888e409.webp,,,9,Frisdranken,
58,58,,,,,Huiskamer espresso 250 gram,,"Speciaal voor Anne&Max geselecteerd en gebrand. Biologisch en 100% Arabica. Single origin uit Peru. Fruitige espresso met diepe smaaktonen van pure chocolade, rode kersen en hazelnoten. In combinatie met melk, net een vloeibare pure hazelnoot chocoladereep in een kopje",9.5,9.5,0,0,0,,0,0,"delivery,takeaway",1,b8723c8946e08eec34f73245ba1a1741.webp,,,9,Voor thuis,
59,59,,,,,Huiskamer espresso 500 gram,,"Speciaal voor Anne&Max geselecteerd en gebrand. Biologisch en 100% Arabica. Single origin uit Peru. Fruitige espresso met diepe smaaktonen van pure chocolade, rode kersen en hazelnoten. In combinatie met melk, net een vloeibare pure hazelnoot chocoladereep in een kopje",18,18,0,0,0,,0,0,"delivery,takeaway",1,f271c82107ab3dc04ae21861a56aea18.webp,,,9,Voor thuis,
60,60,,,,,Huiskamer filterkoffie 250 gram,,"Speciaal voor Anne&Max geselecteerd en gebrand. Biologisch en 100% Arabica. Bonen uit Peru en Ethiopië. Romig zoete filterkoffie met smaaktonen van melkchocolade, ahornsiroop en aardbei",9.75,9.75,0,0,0,,0,0,"delivery,takeaway",1,741e4764dc564e4923e5d9361025e05f.webp,,,9,Voor thuis,
61,61,,,,,Huiskamer filterkoffie 500 gram,,"Speciaal voor Anne&Max geselecteerd en gebrand. Biologisch en 100% Arabica. Bonen uit Peru en Ethiopië. Romig zoete filterkoffie met smaaktonen van melkchocolade, ahornsiroop en aardbei",18.5,18.5,0,0,0,,0,0,"delivery,takeaway",1,c3831c9314da52080a400ea82de4a0bb.webp,,,9,Voor thuis,
62,62,,,,,Decafe 250 gram,,Biologisch en 100% Arabica bonen uit Colombia. Deze koffie wordt ge-decaffineerd met reststromen uit de suikerindustrie; een milieuvriendelijke manier die bovendien een heerlijk zoete smaak aan de koffie geeft,10,10,0,0,0,,0,0,"delivery,takeaway",1,d874f1f0c59589d41dd2615a6f3fbee7.webp,,,9,Voor thuis,
63,63,,,,,Vandaag blijf ik binnen,,"De Anne&Max klassieker! Rustgevende rooibos met sinaasappel, kardemon, kaneel en gemberwortel. Losse thee",3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,b483ac88c154b4296dd90693ea8fee7a.webp,,,9,Voor thuis,
64,64,,,,,Een wijs besluit,,Volle earl grey thee met korenbloem en bergamot,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Voor thuis,
65,65,,,,,Even niks,,Zachte en bloemige groene thee met jasmijnbloesem. Zakjes,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,7df802586d83058947139f4288652467.webp,,,9,Voor thuis,
66,66,,,,,Een beetje geluk,,"Fruitige en frisse witte thee met framboos, gember en citroenmirte. Zakjes",3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,a12a95ab2dfd4c5677f9d2074d2cc007.webp,,,9,Voor thuis,
67,67,,,,,Held in mok,,Kruidige melange van groene rooibos en kruidnagel,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Voor thuis,
68,68,,,,,Gek op jou,,"Verkoelende ijsthee van zwarte en groene thee, jasmijnbloesem en bergamot",3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Voor thuis,
69,69,,,,,Zomerdag,,Verfrissende bio groene ijsthee met framboos en appel,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Voor thuis,
70,70,,,,,Anne&Max chai,,"Kruidige chai met zwarte thee, gember, kruidnagel en zwarte peper. Gezoet met kokosbloemsuiker",13.5,13.5,0,0,0,,0,0,"delivery,takeaway",1,d223e17a894a13a504e7cc655a3acaa2.webp,,,9,Voor thuis,
71,71,,,,,Kurkumma latte,,Kurkuma met masala chai kruiden. 200 gram,17.5,17.5,0,0,0,,0,0,"delivery,takeaway",1,4d5a8ff766e89e2fee1441755a5c1075.webp,,,9,Voor thuis,
72,72,,,,,Max's mints menthol,,Bio mint,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,4318b785a06195aa95c56a5d4622a49e.webp,,,9,Voor thuis,
73,73,,,,,Max's mints lemon,,Bio lemon,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,7cefa0d4c0db681ec3f0093eae648ff4.webp,,,9,Voor thuis,
74,74,,,,,Max's mints ginger,,Bio mint gember,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,884242ead3eba9c30204c8ee583edd97.webp,,,9,Voor thuis,
75,75,,,,,Focaccia roerei,,,11.5,11.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Lunch,
76,76,,,,,Focaccia tuna melt,,"Met kappertjes, rode ui, augurk en kaas",14,14,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Lunch,
77,77,,,,,Iced matcha mango,,,5.95,5.95,0,0,0,,0,0,"delivery,takeaway",1,,,,9,IJskoffies,
