1,1,,,,,Knoflooksaus,,,1,1,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Sauzen,
2,2,,,,,Sambal,,,1,1,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Sauzen,
3,3,,,,,Chilisaus,,,1,1,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Sauzen,
4,4,,,,,Mayonaise,,,1,1,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Sauzen,
5,5,,,,,Ketchup,,,1,1,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Sauzen,
6,6,,,,,Curry saus,,,1,1,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Sauzen,
7,7,,,,,Garnalen,,,14.5,14.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Voorgerechten,
8,8,,,,,Calamaris,,,8.5,8.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Voorgerechten,
9,9,,,,,Manti,,,8.5,8.5,0,0,0,"f,a,b,c,d,e",0,0,"delivery,takeaway",1,,,,9,Voorgerechten,
10,10,,,,,Portie patat,,Met saus,4.5,4.5,0,0,0,"f,a,b,c,d,e",0,0,"delivery,takeaway",1,,,,9,Voorgerechten,
11,11,,,,,Broodje sucuk döner,,Met salade en saus,8.5,8.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Broodjes en wraps,
12,12,,,,,Wrap shoarma,,Met salade en saus,9.5,9.5,0,0,0,"a,b,c,d,e",0,0,"delivery,takeaway",1,,,,9,Broodjes en wraps,
13,13,,,,,Broodje shoarma,,Met salade en saus,9.5,9.5,0,0,0,"a,b,c,d,e",0,0,"delivery,takeaway",1,,,,9,Broodjes en wraps,
14,14,,,,,Kapsalon shoarma,,,11.5,11.5,0,0,0,"g,h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,Kapsalon,
15,15,,,,,Kapsalon sucuk,,Turkse worst,11.5,11.5,0,0,0,"g,h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,Kapsalon,
16,16,,,,,Stoofpot champignons gevuld met kaas,,,9.5,9.5,0,0,0,"g,h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,Stoofpot,
17,17,,,,,Stoofpot met köfte en kaas,,,19.5,19.5,0,0,0,"g,h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,Stoofpot,
18,18,,,,,Stoofpot met kipfilet en kaas,,,17.5,17.5,0,0,0,"g,h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,Stoofpot,
19,19,,,,,Etli ekmek,,"Verse pide met gehakt, meter lang en origineel",12.95,12.95,0,0,0,e,0,0,"delivery,takeaway",1,f8d17c2f3c8d68ab1d539047f80c6f23.png,,,9,Pide's,
20,20,,,,,Mevlana pide,,Pide met gehakt en kaas,13,13,0,0,0,e,0,0,"delivery,takeaway",1,8845a7218b514bea90f9edef3b4908f2.png,,,9,Pide's,
21,21,,,,,Bicak arasi pide,,Pide met stukjes vlees,15,15,0,0,0,e,0,0,"delivery,takeaway",1,bf1fe10161dc9eae37f5638da7a455b9.png,,,9,Pide's,
22,22,,,,,Tavuklu pide,,Pide met kip,13,13,0,0,0,e,0,0,"delivery,takeaway",1,b26d8b17accc4720173def7326ba1422.png,,,9,Pide's,
23,23,,,,,Recai pide,,Pide met stukjes vlees en kaas,15.5,15.5,0,0,0,e,0,0,"delivery,takeaway",1,069b3df05e949a5dc2afe3e58e1f8953.png,,,9,Pide's,
24,24,,,,,Tavuklu peynirli pide,,Pide met kip en kaas,13.5,13.5,0,0,0,e,0,0,"delivery,takeaway",1,12a6245cac3763aed8300a029278a70f.png,,,9,Pide's,
25,25,,,,,Peynirli pide,,Pide met kaas,12,12,0,0,0,e,0,0,"delivery,takeaway",1,440241494415632d33cbfb9c4f8e5558.png,,,9,Pide's,
26,26,,,,,Sebzeli peynirli pide,,Pide met kaas en groente,12,12,0,0,0,e,0,0,"delivery,takeaway",1,,,,9,Pide's,
27,27,,,,,Peynirli yumurtali pide,,Pide met kaas en ei,12.5,12.5,0,0,0,e,0,0,"delivery,takeaway",1,,,,9,Pide's,
28,28,,,,,Sucuklu peynirli pide,,Pide met kaas en Turkse worst,13.5,13.5,0,0,0,e,0,0,"delivery,takeaway",1,116545d41e9f62272e13753c421e727f.png,,,9,Pide's,
29,29,,,,,Pastirmali peynirli pide,,Pide met pastrami en kaas,15,15,0,0,0,e,0,0,"delivery,takeaway",1,d2036a820e3fc78a41c1495ca74ff7de.png,,,9,Pide's,
30,30,,,,,Ispanakli pide,,Pide met spinazie,12,12,0,0,0,e,0,0,"delivery,takeaway",1,,,,9,Pide's,
31,31,,,,,Dürüm kalfsdöner,,,7.5,7.5,0,0,0,"a,b,c,d,i,e",0,0,"delivery,takeaway",1,,,,9,Dürüm wraps,
32,32,,,,,Dürüm kipdöner,,,7.5,7.5,0,0,0,"a,b,c,d,i,e",0,0,"delivery,takeaway",1,,,,9,Dürüm wraps,
33,33,,,,,Dürüm shoarma,,,8.5,8.5,0,0,0,"a,b,c,d,i,e",0,0,"delivery,takeaway",1,,,,9,Dürüm wraps,
34,34,,,,,Dürüm köfte,,,8.5,8.5,0,0,0,"a,b,c,d,i,e",0,0,"delivery,takeaway",1,,,,9,Dürüm wraps,
35,35,,,,,Sucuk döner schotel,,Turkse worst,17.5,17.5,0,0,0,"h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,Schotels,
36,36,,,,,Kipdöner schotel,,,14.5,14.5,0,0,0,"h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,Schotels,
37,37,,,,,Shoarma schotel,,,18,18,0,0,0,"h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,Schotels,
38,38,,,,,Köfte schotel,,,17.5,17.5,0,0,0,"h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,Schotels,
39,39,,,,,Chef special soep,,,10,10,0,0,0,"g,c,e",0,0,"delivery,takeaway",1,,,,9,Soepen,
40,40,,,,,Patat klein,,,3.5,3.5,0,0,0,c,0,0,"delivery,takeaway",1,,,,9,Snacks,
41,41,,,,,Patat groot,,,4.5,4.5,0,0,0,c,0,0,"delivery,takeaway",1,,,,9,Snacks,
42,42,,,,,Patat speciaal,,,4.75,4.75,0,0,0,"b,j",0,0,"delivery,takeaway",1,,,,9,Snacks,
43,43,,,,,Baklava,,,6.5,6.5,0,0,0,k,0,0,"delivery,takeaway",1,,,,9,Zoetigheid,
44,44,,,,,Knoflooksaus en sambal,,,1.75,1.75,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Sauzen,
45,45,,,,,Coca-Cola 330ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,4a026cd376a9a486f58cecf456d5ebe4.png,,,9,Frisdranken,
46,46,,,,,Coca-Cola light 330ml,,Blikje,2,2,0,0,0,,0,0,"delivery,takeaway",1,470e93f0eeec060c1c2a8f6b966cc965.png,,,9,Frisdranken,
47,47,,,,,Coca-Cola zero sugar 330ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,cea32b584970bb5c560fa394d76a1811.png,,,9,Frisdranken,
48,48,,,,,Fanta orange 330ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,092f84be1ea5293131490d5ea824ea95.png,,,9,Frisdranken,
49,49,,,,,Fanta strawberry & kiwi 330ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,d70710100bc0aa79fa366cedcaaf725f.png,,,9,Frisdranken,
50,50,,,,,Fanta exotic 330ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,de3f9df57473c9041f1dd09b37c92f71.png,,,9,Frisdranken,
51,51,,,,,Sprite 330ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,2f7b414b72e24c41fe806f6e6c140b57.png,,,9,Frisdranken,
52,52,,,,,Mogu Mogu passievrucht 320ml,,Flesje,2.85,2.85,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Frisdranken,
53,53,,,,,Mogu Mogu aardbei 320ml,,Flesje,2.85,2.85,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Frisdranken,
54,54,,,,,Mogu Mogu mango 320ml,,Flesje,2.85,2.85,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Frisdranken,
55,55,,,,,Fernandes Geel 330ml,,,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Frisdranken,
56,56,,,,,Fernandes Oranje 330ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,5a6f4ccb886f3f4f3c106cb1fddd1f21.png,,,9,Frisdranken,
57,57,,,,,Fernandes Blauw 330ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,ad1ba17a5b095922c863e5ccddc9e6c6.png,,,9,Frisdranken,
58,58,,,,,Fernandes Rood 330ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,40bac112c77b0c6cfbc65dbfd26eee6c.png,,,9,Frisdranken,
59,59,,,,,Fernandes Groen 330ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,03148f8e3cff6bdaecca80047336a5da.png,,,9,Frisdranken,
60,60,,,,,Oasis 330ml,,Blikje,2.85,2.85,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Frisdranken,
61,61,,,,,AA Drink 330ml,,Flesje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,cbc5cd8130f4ad467d47dae68e6ce318.png,,,9,Frisdranken,
62,62,,,,,Red Bull Energy Drink 250ml,,Stimuleert Lichaam en Geest. Red Bull Energy Drink wordt wereldwijd gewaardeerd door topsorters,3.85,3.85,0,0,0,,0,0,"delivery,takeaway",1,3e028efac4a54d5d38f84542ebee47dd.png,,,9,Frisdranken,
63,63,,,,,Spa blauw 330ml,,Flesje,2.5,2.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Frisdranken,
64,64,,,,,Fristi 250ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,70b36805f66ce8dfd5d8df36d54b1dca.png,,,9,Frisdranken,
65,65,,,,,Ayran,,,2,2,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Frisdranken,
66,66,,,,,Chocomel 250ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,e9bdad28beda91152322dd65be018bb3.png,,,9,Frisdranken,
67,67,,,,,Hawaii 250ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,a45a51c4ea84c7e070d3b705f973f4df.png,,,9,Frisdranken,
68,68,,,,,Poms 250ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,50412c1963af2fbfaf44f6f49d471cb0.png,,,9,Frisdranken,
69,69,,,,,Cream Soda 330ml,,Blikje,2.85,2.85,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Frisdranken,
70,70,,,,,Slammers Energy 250ml,,Blikje,2.35,2.35,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Frisdranken,
71,71,,,,,Lipton ice tea sparkling 330ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,8bd8ea2ddce56e524fd2351c4b6ff190.png,,,9,Frisdranken,
72,72,,,,,Lipton ice tea peach 330ml,,Blikje,2.75,2.75,0,0,0,,0,0,"delivery,takeaway",1,04040cd0c9a065deb0a1208aedfb8040.png,,,9,Frisdranken,
73,73,,,,,Kapsalon kipfilet,,,11.5,11.5,0,0,0,"g,h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,Kapsalon,
74,74,,,,,Kaassoufflé,,,2.5,2.5,0,0,0,c,0,0,"delivery,takeaway",1,,,,9,Snacks,
75,75,,,,,Kipcorn,,Halal,2.5,2.5,0,0,0,c,0,0,"delivery,takeaway",1,,,,9,Snacks,
76,76,,,,,Frikandel,,Halal,2.5,2.5,0,0,0,c,0,0,"delivery,takeaway",1,,,,9,Snacks,
77,77,,,,,Kipnuggets 6 stuks,,Halal,4.5,4.5,0,0,0,c,0,0,"delivery,takeaway",1,,,,9,Snacks,
78,78,,,,,Kipnuggets 9 stuks,,Halal,6.5,6.5,0,0,0,c,0,0,"delivery,takeaway",1,,,,9,Snacks,
79,79,,,,,Dürüm kipfilet,,,8.5,8.5,0,0,0,"a,b,c,d,i,e",0,0,"delivery,takeaway",1,,,,9,Dürüm wraps,
80,80,,,,,Kipfilet schotel,,,17.5,17.5,0,0,0,"h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,Schotels,
81,81,,,,,Broodje köfte,,,9.5,9.5,0,0,0,"a,b,c,d,e",0,0,"delivery,takeaway",1,,,,9,Broodjes en wraps,
82,82,,,,,Dürüm kip en kalf,,,8,8,0,0,0,"a,b,c,d,i,e",0,0,"delivery,takeaway",1,,,,9,Dürüm wraps,
83,83,,,,,Wrap köfte,,,9.5,9.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Broodjes en wraps,
84,84,,,,,Ispanakli peynirli pide,,Pide met spinazie en kaas,13,13,0,0,0,,0,0,"delivery,takeaway",1,45bcb88fe392d37bd93afa9e4b82cb29.png,,,9,Pide's,
85,85,,,,,Kavurmali pide,,Pide met gebakken stukjes vlees,15,15,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Pide's,
86,86,,,,,Shoarmali pide,,Pide met shoarma,15,15,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Pide's,
87,87,,,,,Tonbalikli pide,,Pide met tonijn,15,15,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Pide's,
88,88,,,,,Kiymali yumurtali pide,,Pide met gehakt en ei,13.5,13.5,0,0,0,,0,0,"delivery,takeaway",1,990f88d5e1507cfff1a404b10e23ab71.png,,,9,Pide's,
89,89,,,,,Kipnuggets,,,6.5,6.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Voorgerechten,
90,90,,,,,Sutlac,,,6.5,6.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Zoetigheid,
91,91,,,,,Kunefe,,,9.5,9.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Zoetigheid,
92,92,,,,,Katmer,,,9.5,9.5,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Zoetigheid,
93,93,,,,,Dürüm sucuk döner,,Met salade en saus,8.5,8.5,0,0,0,"a,b,c,d,e",0,0,"delivery,takeaway",1,,,,9,,
94,94,,,,,Dürüm sucuk döner,,Met salade en saus,8,8,0,0,0,"a,b,c,d,e",0,0,"delivery,takeaway",1,,,,9,Broodjes en wraps,
95,95,,,,,Kapsalon shoarma,,,8,8,0,0,0,"g,h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,,
96,96,,,,,Kapsalon shoarma,,,8,8,0,0,0,"g,h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,Kapsalon,
97,97,,,,,Kapsalon köfte,,,11.5,11.5,0,0,0,"g,h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,,
98,98,,,,,Kapsalon köfte,,,11.5,11.5,0,0,0,"g,h,a,b,c,e",0,0,"delivery,takeaway",1,,,,9,Kapsalon,
99,99,,,,,Linzensoep,,,7.5,7.5,0,0,0,"g,c,e",0,0,"delivery,takeaway",1,,,,9,,
100,100,,,,,Linzensoep,,,5.5,5.5,0,0,0,"g,c,e",0,0,"delivery,takeaway",1,,,,9,Soepen,
101,101,,,,,Kippensoep,,,7.5,7.5,0,0,0,"g,c,e",0,0,"delivery,takeaway",1,,,,9,,
102,102,,,,,Kippensoep,,,5.5,5.5,0,0,0,"g,c,e",0,0,"delivery,takeaway",1,,,,9,Soepen,
