group id,id,id2,-,-,name,-,price,price2,0,1
a,1,1,,,Blond desembrood,,0,0,0,1
a,2,2,,,Volkoren desembrood,,0,0,0,1
b,3,3,,,Wegwerp plastic,,0.15,0.15,0,1
c,4,4,,,Ik bestel graag de vegan box,,0,0,0,1
d,5,5,,,Wegwerp plastic,,0.5,0.5,0,1
e,6,6,,,Ik bestel graag de reguliere box,,0,0,0,1
e,7,7,,,Ik bestel graag de vegetarische box,,0,0,0,1
e,8,8,,,Ik bestel graag de vegan box,,0,0,0,1
f,9,9,,,Wegwerp plastic,,0.5,0.5,0,1
g,10,10,,,Ik bestel graag de reguliere box,,0,0,0,1
g,11,11,,,Ik bestel graag de vegetarische box,,0,0,0,1
g,12,12,,,Ik bestel graag de vegan box,,0,0,0,1
h,13,13,,,Wegwerp plastic,,0.5,0.5,0,1
i,14,14,,,Wegwerp plastic,,0.15,0.15,0,1
j,15,15,,,Bacon,,0,0,0,1
j,16,16,,,Warmgerookte zalm,,0,0,0,1
j,17,17,,,Geen - vegetarisch,,0,0,0,1
k,18,18,,,"Energie, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
k,19,19,,,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
k,20,20,,,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
k,21,21,,,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15",,6.15,6.15,0,1
k,22,22,,,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15",,5.15,5.15,0,1
l,23,23,,,Wegwerp plastic,,0.05,0.05,0,1
m,24,24,,,"Energie, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
m,25,25,,,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
m,26,26,,,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
m,27,27,,,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15",,6.15,6.15,0,1
m,28,28,,,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15",,5.15,5.15,0,1
n,29,29,,,Wegwerp plastic,,0.15,0.15,0,1
o,30,30,,,Boter,,0,0,0,1
o,31,31,,,Fruitcompote,,0,0,0,1
p,32,32,,,"Energie, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
p,33,33,,,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
p,34,34,,,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
p,35,35,,,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15",,6.15,6.15,0,1
p,36,36,,,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15",,5.15,5.15,0,1
q,37,37,,,Wegwerp plastic,,0.05,0.05,0,1
r,38,38,,,Blond desembrood,,0,0,0,1
r,39,39,,,Volkoren desembrood,,0,0,0,1
s,40,40,,,"Energie, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
s,41,41,,,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
s,42,42,,,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
s,43,43,,,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15",,6.15,6.15,0,1
s,44,44,,,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15",,5.15,5.15,0,1
t,45,45,,,Wegwerp plastic,,0.15,0.15,0,1
u,46,46,,,Met gedroogde scharrelham,,2,2,0,1
v,47,47,,,"Energie, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
v,48,48,,,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
v,49,49,,,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
v,50,50,,,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15",,6.15,6.15,0,1
v,51,51,,,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15",,5.15,5.15,0,1
w,52,52,,,Wegwerp plastic,,0.15,0.15,0,1
x,53,53,,,Met gesmolten kaas,,1.5,1.5,0,1
y,54,54,,,"Energie, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
y,55,55,,,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
y,56,56,,,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
y,57,57,,,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15",,6.15,6.15,0,1
y,58,58,,,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15",,5.15,5.15,0,1
z,59,59,,,Wegwerp plastic,,0.15,0.15,0,1
aa,60,60,,,Met gedroogde scharrelham,,2,2,0,1
ab,61,61,,,"Energie, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
ab,62,62,,,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
ab,63,63,,,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
ab,64,64,,,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15",,6.15,6.15,0,1
ab,65,65,,,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15",,5.15,5.15,0,1
ac,66,66,,,Wegwerp plastic,,0.15,0.15,0,1
ad,67,67,,,"Energie, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
ad,68,68,,,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
ad,69,69,,,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15",,5.65,5.65,0,1
ad,70,70,,,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15",,6.15,6.15,0,1
ad,71,71,,,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15",,5.15,5.15,0,1
ae,72,72,,,Wegwerp plastic,,0.05,0.05,0,1
af,73,73,,,Schulp appelsap,,3.5,3.5,0,1
ag,74,74,,,Wegwerp plastic,,0.05,0.05,0,1
ah,75,75,,,Schulp appelsap,,3.5,3.5,0,1
ai,76,76,,,Wegwerp plastic,,0.15,0.15,0,1
aj,77,77,,,Kaas,,0,0,0,1
aj,78,78,,,Jam,,0,0,0,1
aj,79,79,,,Pure chocoladestukjes,,0,0,0,1
ak,80,80,,,Schulp appelsap,,3.5,3.5,0,1
al,81,81,,,Wegwerp plastic,,0.15,0.15,0,1
am,82,82,,,"IJsthee, incl. wegwerp plastic toeslag EUR 0,15",,4.15,4.15,0,1
am,83,83,,,"Groene ijsthee, incl. wegwerp plastic toeslag EUR 0,15",,4.15,4.15,0,1
am,84,84,,,Schulp appelsap,,3.5,3.5,0,1
an,85,85,,,Vandaag blijf ik binnen,,3.5,3.5,0,1
an,86,86,,,Een wijs besluit,,3.5,3.5,0,1
an,87,87,,,Even niks,,3.5,3.5,0,1
an,88,88,,,Een beetje geluk,,3.5,3.5,0,1
an,89,89,,,Held in een mok,,3.5,3.5,0,1
ao,90,90,,,Wegwerp plastic,,0.15,0.15,0,1
ap,91,91,,,Wegwerp plastic,,0.15,0.15,0,1
aq,92,92,,,Wegwerp plastic,,0.15,0.15,0,1
ar,93,93,,,Wegwerp plastic,,0.15,0.15,0,1
